Time_Step_Min,DNI_Irradiance,Inlet_Temp,Current_Outlet_Temp,Previous_Salt_Flow,Optimal_Flow_Target
685,879.33,288.86,288.86,1144.2765,971.5831
690,882.08,290.83,600.0,971.5831,1019.8729
695,884.4,292.68,292.68,1019.8729,991.1861
700,886.3,284.78,600.0,991.1861,1002.4531
705,887.78,288.69,288.69,1002.4531,980.782
710,888.84,291.19,600.0,980.782,1029.1444
715,889.48,292.43,292.43,1029.1444,996.2153
720,889.69,290.41,600.0,996.2153,1026.9533
725,889.48,290.1,290.1,1026.9533,987.7843
730,888.84,293.22,600.0,987.7843,1036.7498
735,887.78,292.55,292.55,1036.7498,994.6707
740,996.19,288.26,600.0,994.6707,1142.3502
745,994.06,290.23,290.23,1142.3502,1110.2609
750,666.56,290.72,600.0,1110.2609,767.5182
755,664.48,293.44,293.44,767.5182,734.3612
760,662.09,291.73,600.0,734.3612,764.9083
765,659.39,289.79,289.79,764.9083,718.7042
770,656.37,290.44,600.0,718.7042,754.8746
775,653.04,286.23,286.23,754.8746,702.2246
780,965.93,291.94,600.0,702.2246,1122.6171
785,960.05,291.29,291.29,1122.6171,1074.7314
790,953.72,292.42,600.0,1074.7314,1109.9255
795,641.67,289.71,289.71,1109.9255,697.8638
800,636.77,290.26,600.0,697.8638,731.5038
805,631.56,289.04,289.04,731.5038,684.413
810,923.88,287.7,600.0,684.413,1056.6918
815,915.31,288.8,288.8,1056.6918,1013.1014
820,906.31,286.36,600.0,1013.1014,1031.4031
825,896.87,291.83,291.83,1031.4031,1002.7171
830,738.47,285.65,600.0,1002.7171,835.9995
835,729.91,294.06,294.06,835.9995,813.4641
840,721.0,286.47,600.0,813.4641,818.2098
845,711.75,293.0,293.0,818.2098,788.8783
850,843.39,288.18,600.0,788.8783,965.0606
855,831.47,291.12,291.12,965.0606,923.5843
860,819.15,288.5,600.0,923.5843,938.1743
865,806.44,293.35,293.35,938.1743,901.6229
870,599.97,290.09,600.0,901.6229,687.9102
875,589.79,292.15,292.15,687.9102,643.1426
880,579.32,290.15,600.0,643.1426,664.0686
885,568.58,290.71,290.71,664.0686,614.979
890,557.57,291.23,600.0,614.979,641.3151
895,546.29,288.94,288.94,641.3151,585.1686
900,534.75,287.44,600.0,585.1686,606.3201
905,522.96,287.4,287.4,606.3201,554.9715
910,510.92,290.1,600.0,554.9715,584.5043
915,659.35,289.02,289.02,584.5043,716.648
920,642.79,285.71,600.0,716.648,726.5467
925,625.92,291.03,291.03,726.5467,682.786
930,608.76,287.56,600.0,682.786,691.9593
935,591.31,287.68,287.68,691.9593,634.5396
940,573.58,289.92,600.0,634.5396,657.106
945,555.57,288.2,288.2,657.106,594.347
950,537.3,290.25,600.0,594.347,615.5357
955,518.77,293.95,293.95,615.5357,563.4353
960,448.03,289.24,600.0,563.4353,509.1508
965,431.0,287.88,287.88,509.1508,449.5763
970,413.76,290.36,600.0,449.5763,471.6348
975,396.32,288.45,288.45,471.6348,410.3082
980,378.69,290.05,600.0,410.3082,430.1801
985,360.89,290.63,290.63,430.1801,372.1773
990,342.91,289.93,600.0,372.1773,388.1515
995,324.77,290.11,290.11,388.1515,329.3593
1000,306.47,290.38,600.0,329.3593,346.2998
1005,288.03,293.19,293.19,346.2998,289.7698
1010,269.45,289.49,600.0,289.7698,301.9032
1015,279.83,290.25,290.25,301.9032,277.1009
1020,156.38,291.73,600.0,277.1009,171.9536
1025,143.62,290.94,290.94,171.9536,118.4845
1030,130.78,289.28,600.0,118.4845,140.6109
1035,117.88,291.8,291.8,140.6109,88.6618
1040,104.92,288.26,600.0,88.6618,110.0852
1045,91.92,289.55,289.55,110.0852,57.7251
1050,78.87,288.46,600.0,57.7251,80.1161
1055,65.78,291.15,425.43,80.1161,27.4716
1060,52.66,292.38,600.0,27.4716,38.5417
1065,39.52,290.45,437.56,38.5417,0.0
1070,35.71,290.15,600.0,0.0,0.0
1075,17.86,288.25,288.25,0.0,0.0
1080,0.0,288.59,288.59,0.0,0.0
1085,0.0,287.61,287.61,0.0,0.0
1090,0.0,285.65,285.65,0.0,0.0
1095,0.0,289.22,289.22,0.0,0.0
1100,0.0,289.4,289.4,0.0,0.0
1105,0.0,294.35,294.35,0.0,0.0
1110,0.0,293.13,293.13,0.0,0.0
1115,0.0,291.11,291.11,0.0,0.0
1120,0.0,294.17,294.17,0.0,0.0
1125,0.0,292.78,292.78,0.0,0.0
1130,0.0,285.98,285.98,0.0,0.0
1135,0.0,292.13,292.13,0.0,0.0
1140,0.0,291.42,291.42,0.0,0.0
1145,0.0,289.42,289.42,0.0,0.0
1150,0.0,287.17,287.17,0.0,0.0
1155,0.0,291.19,291.19,0.0,0.0
1160,0.0,285.84,285.84,0.0,0.0
1165,0.0,289.96,289.96,0.0,0.0
1170,0.0,288.77,288.77,0.0,0.0
1175,0.0,287.48,287.48,0.0,0.0
1180,0.0,292.38,292.38,0.0,0.0
1185,0.0,289.92,289.92,0.0,0.0
1190,0.0,290.35,290.35,0.0,0.0
1195,0.0,291.82,291.82,0.0,0.0
1200,0.0,289.98,289.98,0.0,0.0
1205,0.0,290.9,290.9,0.0,0.0
1210,0.0,291.63,291.63,0.0,0.0
1215,0.0,291.13,291.13,0.0,0.0
1220,0.0,290.57,290.57,0.0,0.0
1225,0.0,293.57,293.57,0.0,0.0
1230,0.0,292.48,292.48,0.0,0.0
1235,0.0,289.83,289.83,0.0,0.0
1240,0.0,288.18,288.18,0.0,0.0
1245,0.0,291.28,291.28,0.0,0.0
1250,0.0,290.43,290.43,0.0,0.0
1255,0.0,293.42,293.42,0.0,0.0
1260,0.0,291.97,291.97,0.0,0.0
1265,0.0,291.53,291.53,0.0,0.0
1270,0.0,290.03,290.03,0.0,0.0
